DIAGNOSIS CODE,LEN_DX_CODE,FIVE_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
V664,4,V6640,Convalescence following treatment of fracture,Fracture treatmnt conval
V663,4,V6630,Convalescence following psychotherapy and other treatment for mental disorder,Mental dis convalescence
V662,4,V6620,Convalescence following chemotherapy,Chemotherapy convalescen
V661,4,V6610,Convalescence following radiotherapy,Radiotherapy convalescen
V660,4,V6600,Convalescence following surgery,Surgical convalescence
V659,4,V6590,Unspecified reason for consultation,Reason for consult NOS
V658,4,V6580,Other reasons for seeking consultation,Reason for consult NEC
V655,4,V6550,Person with feared complaint in whom no diagnosis was made,Persn w feared complaint
V653,4,V6530,Dietary surveillance and counseling,Dietary surveil/counsel
V652,4,V6520,Person feigning illness,Person feigning illness
V650,4,V6500,Healthy person accompanying sick person,Healthy person w sick
V643,4,V6430,Procedure not carried out for other reasons,No proc for reasons NEC
V642,4,V6420,Surgical or other procedure not carried out because of patient's decision,No proc/patient decision
V641,4,V6410,Surgical or other procedure not carried out because of contraindication,No proc/contraindication
V639,4,V6390,Unspecified reason for unavailability of medical facilities,No med facilities NOS
V638,4,V6380,Other specified reasons for unavailability of medical facilities,No med facilities NEC
V632,4,V6320,Person awaiting admission to adequate facility elsewhere,Wait adm to oth facility
V631,4,V6310,Medical services in home not available,No medical serv in home
V630,4,V6300,Residence remote from hospital or other health care facility,Home remote from hospitl
V629,4,V6290,Unspecified psychosocial circumstance,Psychosocial circum NOS
V626,4,V6260,Refusal of treatment for reasons of religion or conscience,Refusal of treatment
V625,4,V6250,Legal circumstances,Legal circumstances
V624,4,V6240,Social maladjustment,Social maladjustment
V623,4,V6230,Educational circumstances,Educational circumstance
V621,4,V6210,Adverse effects of work environment,Adverse eff-work environ
V620,4,V6200,Unemployment,Unemployment
V619,4,V6190,Unspecified family circumstance,Family circumstance NOS
V618,4,V6180,Other specified family circumstances,Family circumstances NEC
V617,4,V6170,Other unwanted pregnancy,Unwanted pregnancy NEC
V616,4,V6160,Illegitimacy or illegitimate pregnancy,Illegitimate pregnancy
V615,4,V6150,Multiparity,Multiparity
V613,4,V6130,Problems with aged parents or in-laws,Problem w aged parent
V609,4,V6090,Unspecified housing or economic circumstance,Housing/econo circum NOS
V606,4,V6060,Person living in residential institution,Person in resident inst
V605,4,V6050,Holiday relief care,Holiday relief care
V604,4,V6040,No other household member able to render care,No family able to care
V603,4,V6030,Person living alone,Person living alone
V602,4,V6020,Inadequate material resources,Economic problem
V601,4,V6010,Inadequate housing,Inadequate housing
V600,4,V6000,Lack of housing,Lack of housing
V599,4,V5990,Donors of unspecified organ or tissue,Org or tissue donor NOS
V598,4,V5980,Donors of other specified organ or tissue,Org or tissue donor NEC
V596,4,V5960,Liver donors,Liver donor
V595,4,V5950,Cornea donors,Cornea donor
V594,4,V5940,Kidney donors,Kidney donor
V593,4,V5930,Bone marrow donors,Bone marrow donor
V592,4,V5920,Bone donors,Bone donor
V591,4,V5910,Skin donors,Skin donor
V589,4,V5890,Unspecified aftercare,Aftercare NOS
V585,4,V5850,Orthodontics aftercare,Orthodontics aftercare
V582,4,V5820,"Blood transfusion, without reported diagnosis","Blood transfusion, no dx"
V580,4,V5800,Encounter for radiotherapy,Radiotherapy encounter
V579,4,V5790,Care involving unspecified rehabilitation procedure,Rehabilitation proc NOS
V574,4,V5740,Care involving orthoptic training,Orthoptic training
V573,4,V5730,Care involving speech-language therapy,Speech-language therapy
V571,4,V5710,Care involving other physical therapy,Physical therapy NEC
V570,4,V5700,Care involving breathing exercises,Breathing exercises
V568,4,V5680,Encounter for other dialysis,"Dialysis encounter, NEC"
V562,4,V5620,Fitting and adjustment of peritoneal dialysis catheter,Fit/adj perit dial cath
V561,4,V5610,Fitting and adjustment of extracorporeal dialysis catheter,Ft/adj xtrcorp dial cath
V560,4,V5600,Encounter for extracorporeal dialysis,Renal dialysis encounter
V559,4,V5590,Attention to unspecified artificial opening,Attn to artif open NOS
V558,4,V5580,Attention to other specified artificial opening,Attn to artif open NEC
V557,4,V5570,Attention to artificial vagina,Atten artificial vagina
V556,4,V5560,Attention to other artificial opening of urinary tract,Atten to urinostomy NEC
V555,4,V5550,Attention to cystostomy,Atten to cystostomy
V554,4,V5540,Attention to other artificial opening of digestive tract,Atten to enterostomy NEC
V553,4,V5530,Attention to colostomy,Atten to colostomy
V552,4,V5520,Attention to ileostomy,Atten to ileostomy
V551,4,V5510,Attention to gastrostomy,Atten to gastrostomy
V550,4,V5500,Attention to tracheostomy,Atten to tracheostomy
V549,4,V5490,Unspecified orthopedic aftercare,Orthopedic aftercare NOS
V538,4,V5380,Fitting and adjustment of wheelchair,Adjustment of wheelchair
V537,4,V5370,Fitting and adjustment of orthopedic devices,Fit orthopedic devices
V536,4,V5360,Fitting and adjustment of urinary devices,Fitting urinary devices
V534,4,V5340,Fitting and adjustment of orthodontic devices,Fit orthodontic device
V532,4,V5320,Fitting and adjustment of hearing aid,Adjustment hearing aid
V531,4,V5310,Fitting and adjustment of spectacles and contact lenses,Fit contact lens/glasses
V529,4,V5290,Fitting and adjustment of unspecified prosthetic device,Fitting prosthesis NOS
V528,4,V5280,Fitting and adjustment of other specified prosthetic device,Fitting prosthesis NEC
V524,4,V5240,Fitting and adjustment of breast prosthesis and implant,Fit/adj breast pros/impl
V523,4,V5230,Fitting and adjustment of dental prosthetic device,Fitting dental prosthes
V522,4,V5220,Fitting and adjustment of artificial eye,Fitting artificial eye
V521,4,V5210,Fitting and adjustment of artificial leg (complete) (partial),Fitting artificial leg
V520,4,V5200,Fitting and adjustment of artificial arm (complete) (partial),Fitting artificial arm
V518,4,V5180,Other aftercare involving the use of plastic surgery,Aftercre plastc surg NEC
V510,4,V5100,Encounter for breast reconstruction following mastectomy,Brst reconst fol mastect
V509,4,V5090,Unspecified elective surgery for purposes other than remedying health states,Elective surgery NOS
V508,4,V5080,Other elective surgery for purposes other than remedying health states,Elective surgery NEC
V503,4,V5030,Ear piercing,Ear piercing
V502,4,V5020,Routine or ritual circumcision,Routine circumcision
V501,4,V5010,Other plastic surgery for unacceptable cosmetic appearance,Plastic surgery NEC
V500,4,V5000,Elective hair transplant for purposes other than remedying health states,Hair transplant
V499,4,V4990,Unspecified problems with limbs and other problems,Probl influ health NOS
V495,4,V4950,Other problems of limbs,Limb problems NEC
V494,4,V4940,Disfigurements of limbs,Disfigurements of limbs
V493,4,V4930,Sensory problems with limbs,Sensory problems w limbs
V492,4,V4920,Motor problems with limbs,Motor problems w limbs
V491,4,V4910,Mechanical problems with limbs,Mechanical prob w limbs
V490,4,V4900,Deficiencies of limbs,Deficiencies of limbs
V489,4,V4890,"Unspecified problem with head, neck, or trunk",Prob-head/neck/trunk NOS
V488,4,V4880,"Other problems with head, neck, and trunk",Prob-head/neck/trunk NEC
V487,4,V4870,Disfigurements of neck and trunk,Disfigurement neck/trunk
V486,4,V4860,Disfigurements of head,Disfigurements of head
V485,4,V4850,Sensory problem with neck and trunk,Sensor prob w neck/trunk
V484,4,V4840,Sensory problem with head,Sensory problem w head
V483,4,V4830,Mechanical and motor problems with neck and trunk,Mech prob w neck & trunk
V482,4,V4820,Mechanical and motor problems with head,Mechanical prob w head
V481,4,V4810,Deficiencies of neck and trunk,Deficiencies neck/trunk
V480,4,V4800,Deficiencies of head,Deficiencies of head
V479,4,V4790,Unspecified problems with internal organs,Probl w internal org NOS
V475,4,V4750,Other genital problems,Genital problems NEC
V474,4,V4740,Other urinary problems,Urinary problems NEC
V473,4,V4730,Other digestive problems,Digestive problems NEC
V472,4,V4720,Other cardiorespiratory problems,Cardiorespirat probl NEC
V471,4,V4710,Mechanical and motor problems with internal organs,Mech prob w internal org
V470,4,V4700,Deficiencies of internal organs,Intern organ deficiency
V469,4,V4690,Unspecified machine dependence,Machine dependence NOS
V468,4,V4680,Dependence on other enabling machines,Machine dependence NEC
V463,4,V4630,Wheelchair dependence,Wheelchair dependence
V462,4,V4620,"Other dependence on machines, supplemental oxygen",Depend-supplement oxygen
V460,4,V4600,Dependence on aspirator,Dependence on aspirator
V454,4,V4540,Arthrodesis status,Arthrodesis status
V453,4,V4530,Intestinal bypass or anastomosis status,Intestinal bypass status
V452,4,V4520,Presence of cerebrospinal fluid drainage device,Ventricular shunt status
V449,4,V4490,Unspecified artificial opening status,Artif open status NOS
V448,4,V4480,Other artificial opening status,Artif open status NEC
V447,4,V4470,Artificial vagina status,Artificial vagina status
V446,4,V4460,Other artificial opening of urinary tract status,Urinostomy status NEC
V444,4,V4440,Status of other artificial opening of gastrointestinal tract,Enterostomy status NEC
V443,4,V4430,Colostomy status,Colostomy status
V442,4,V4420,Ileostomy status,Ileostomy status
V441,4,V4410,Gastrostomy status,Gastrostomy status
V440,4,V4400,Tracheostomy status,Tracheostomy status
V437,4,V4370,Limb replaced by other means,Limb replacement NEC
V435,4,V4350,Bladder replaced by other means,Bladder replacement NEC
V434,4,V4340,Blood vessel replaced by other means,Blood vessel replac NEC
V433,4,V4330,Heart valve replaced by other means,Heart valve replac NEC
V431,4,V4310,Lens replaced by other means,Lens replacement NEC
V430,4,V4300,Eye globe replaced by other means,Eye replacement NEC
V429,4,V4290,Unspecified organ or tissue replaced by transplant,Transplant status NOS
V427,4,V4270,Liver replaced by transplant,Liver transplant status
V426,4,V4260,Lung replaced by transplant,Lung transplant status
V425,4,V4250,Cornea replaced by transplant,Cornea transplant status
V424,4,V4240,Bone replaced by transplant,Bone transplant status
V423,4,V4230,Skin replaced by transplant,Skin transplant status
V422,4,V4220,Heart valve replaced by transplant,Heart valve transplant
V421,4,V4210,Heart replaced by transplant,Heart transplant status
V420,4,V4200,Kidney replaced by transplant,Kidney transplant status
V419,4,V4190,Unspecified problem with special functions,Probl w special func NOS
V418,4,V4180,Other problems with special functions,Probl w special func NEC
V417,4,V4170,Problems with sexual function,Sexual function problem
V416,4,V4160,Problems with swallowing and mastication,Problem w swallowing
V415,4,V4150,Problems with smell and taste,Smell and taste problem
V414,4,V4140,Problems with voice production,Voice production problem
V413,4,V4130,Other ear problems,Ear problems NEC
V412,4,V4120,Problems with hearing,Problems with hearing
V411,4,V4110,Other eye problems,Eye problems NEC
V410,4,V4100,Problems with sight,Problems with sight
V409,4,V4090,Unspecified mental or behavioral problem,Mental/behavior prob NOS
V402,4,V4020,Other mental problems,Mental problems NEC
V401,4,V4010,Mental and behavioral problems with communication [including speech],Prob with communication
V400,4,V4000,Mental and behavioral problems with learning,Problems with learning
V392,4,V3920,"Liveborn, unspecified whether single, twin or multiple, born outside hospital and not hospitalized",Liveborn NOS-nonhosp
V391,4,V3910,"Liveborn, unspecified whether single, twin or multiple, born before admission to hospital",Liveborn NOS-before adm
V372,4,V3720,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born outside of hospital",Mult birth NOS-nonhosp
V371,4,V3710,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born before admission to hospital",Mult brth NOS-before adm
V362,4,V3620,"Other multiple birth (three or more), mates liveborn and stillborn, born outside hospital and not hospitalized",Multiple nb/sb-nonhosp
V361,4,V3610,"Other multiple birth (three or more), mates liveborn and stillborn, born before admission to hospital",Mult nb/sb-before adm
V352,4,V3520,"Other multiple birth (three or more), mates all stillborn, born outside of hospital and not hospitalized",Oth multiple sb-nonhosp
V351,4,V3510,"Other multiple birth (three or more), mates all stillborn, born before admission to hospital",Oth mult sb-before adm
V342,4,V3420,"Other multiple birth (three or more), mates all liveborn, born outside hospital and not hospitalized",Oth multiple nb-nonhosp
V341,4,V3410,"Other multiple birth (three or more), mates all liveborn, born before admission to hospital",Oth mult nb-before adm
V332,4,V3320,"Twin birth, unspecified whether mate liveborn or stillborn, born outside hospital and not hospitalized",Twin NOS-nonhosp
V331,4,V3310,"Twin birth, unspecified whether mate liveborn or stillborn, born before admission to hospital",Twin NOS-before admissn
V322,4,V3220,"Twin birth, mate stillborn, born outside hospital and not hospitalized","Twin, mate sb-nonhosp"
V321,4,V3210,"Twin birth, mate stillborn, born before admission to hospital","Twin, mate sb-before adm"
V312,4,V3120,"Twin birth, mate liveborn, born outside hospital and not hospitalized","Twin, mate lb-nonhosp"
V311,4,V3110,"Twin birth, mate liveborn, born before admission to hospital","Twin, mate lb-before adm"
V302,4,V3020,"Single liveborn, born outside hospital and not hospitalized",Single liveborn-nonhosp
V301,4,V3010,"Single liveborn, born before admission to hospital",Singl livebrn-before adm
V299,4,V2990,Observation for unspecified suspected conditions,NB obsrv unsp suspct cnd
V298,4,V2980,Observation for other specified suspected conditions,NB obsrv oth suspct cond
V293,4,V2930,Observation for suspected genetic or metabolic condition,NB obs genetc/metabl cnd
V292,4,V2920,Observation and evaluation of newborn for suspected respiratory condition,Obsrv NB suspc resp cond
V291,4,V2910,Observation for suspected neurological conditions,NB obsrv suspct neurlgcl
V290,4,V2900,Observation for suspected infectious condition,NB obsrv suspct infect
V289,4,V2890,Unspecified antenatal screening,Antenatal screening NOS
V286,4,V2860,Antenatal screening for Streptococcus B,Antenatal screen strep b
V285,4,V2850,Antenatal screening for isoimmunization,Screen-isoimmunization
V284,4,V2840,Antenatal screening for fetal growth retardation using ultrasonics,Screen-fetal retardation
V283,4,V2830,Encounter for routine screening for malformation using ultrasonics,Scr fetl malfrm-ultrasnd
V282,4,V2820,Other antenatal screening based on amniocentesis,Screen by amniocent NEC
V281,4,V2810,Antenatal screening for raised alpha-fetoprotein levels in amniotic fluid,Screen-alphafetoprotein
V280,4,V2800,Antenatal screening for chromosomal anomalies by amniocentesis,Screening-chromosom anom
V279,4,V2790,"Outcome of delivery, unspecified outcome of delivery",Outcome of delivery NOS
