DIAGNOSIS CODE,LEN_DX_CODE,SEVEN_DX_CODE,LONG_DESCRIPTION,SHORT_DESCRIPTION
V780,4,00V7800,Screening for iron deficiency anemia,Screen-iron defic anemia
V778,4,00V7780,Screening for obesity,Screening for obesity
V777,4,00V7770,Screening for other inborn errors of metabolism,Screen-inborn err metab
V776,4,00V7760,Screening for cystic fibrosis,Screen-cystic fibrosis
V775,4,00V7750,Screening for gout,Screening for gout
V774,4,00V7740,Screening for galactosemia,Screen for galactosemia
V773,4,00V7730,Screening for phenylketonuria (PKU),Screen-phenylketonuria
V772,4,00V7720,Screening for malnutrition,Screen for malnutrition
V771,4,00V7710,Screening for diabetes mellitus,Screen-diabetes mellitus
V770,4,00V7700,Screening for thyroid disorders,Screen-thyroid disorder
V769,4,00V7690,Special screening for unspecified malignant neoplasms,Screen-neoplasm NOS
V763,4,00V7630,Screening for malignant neoplasms of bladder,Screen mal neop-bladder
V762,4,00V7620,Screening for malignant neoplasms of cervix,Screen mal neop-cervix
V760,4,00V7600,Special screening for malignant neoplasms of respiratory organs,Screen mal neop-resp org
V759,4,00V7590,Screening examination for unspecified infectious disease,Screen for infec dis NOS
V758,4,00V7580,Screening examination for other specified parasitic infections,Screen-parasitic dis NEC
V757,4,00V7570,Screening examination for intestinal helminthiasis,Screen for helminthiasis
V756,4,00V7560,Screening examination for filariasis,Screen for filariasis
V755,4,00V7550,Screening examination for schistosomiasis,Screen-schistosomiasis
V754,4,00V7540,Screening examination for mycotic infections,Screen-mycotic infect
V753,4,00V7530,Screening examination for trypanosomiasis,Screen-trypanosomiasis
V752,4,00V7520,Screening examination for leishmaniasis,Screen for leishmaniasis
V751,4,00V7510,Screening examination for malaria,Screening for malaria
V750,4,00V7500,Screening examination for rickettsial diseases,Screen-rickettsial dis
V749,4,00V7490,Screening examination for unspecified bacterial and spirochetal diseases,Screen-bacterial dis NOS
V748,4,00V7480,Screening examination for other specified bacterial and spirochetal diseases,Screen-bacterial dis NEC
V746,4,00V7460,Screening examination for yaws,Screening for yaws
V745,4,00V7450,Screening examination for venereal disease,Screen for veneral dis
V744,4,00V7440,Screening examination for bacterial conjunctivitis,Screen-bact conjunctivit
V743,4,00V7430,Screening examination for diphtheria,Screening for diphtheria
V742,4,00V7420,Screening examination for leprosy (Hansen's disease),Screening for leprosy
V741,4,00V7410,Screening examination for pulmonary tuberculosis,Screening-pulmonary TB
V740,4,00V7400,Screening examination for cholera,Screening for cholera
V736,4,00V7360,Screening examination for trachoma,Screening for trachoma
V735,4,00V7350,Screening examination for other arthropod-borne viral diseases,Screening-arbovirus dis
V734,4,00V7340,Screening examination for yellow fever,Screening-yellow fever
V733,4,00V7330,Screening examination for rubella,Screening for rubella
V732,4,00V7320,Screening examination for measles,Screening for measles
V731,4,00V7310,Screening examination for smallpox,Screening for smallpox
V730,4,00V7300,Screening examination for poliomyelitis,Screening-poliomyelitis
V729,4,00V7290,Unspecified examination,Examination NOS
V727,4,00V7270,Diagnostic skin and sensitization tests,Skin/sensitization tests
V725,4,00V7250,"Radiological examination, not elsewhere classified",Radiological exam NEC
V722,4,00V7220,Dental examination,Dental examination
V720,4,00V7200,Examination of eyes and vision,Eye & vision examination
V719,4,00V7190,Observation for unspecified suspected condition,Observ-suspect cond NOS
V717,4,00V7170,Observation for suspected cardiovascular disease,Obs-susp cardiovasc dis
V716,4,00V7160,Observation following other inflicted injury,Observ-inflicted inj NEC
V715,4,00V7150,Observation following alleged rape or seduction,Observ following rape
V714,4,00V7140,Observation following other accident,Observ-accident NEC
V713,4,00V7130,Observation following accident at work,Observ-work accident
V712,4,00V7120,Observation for suspected tuberculosis,Observ-suspect TB
V711,4,00V7110,Observation for suspected malignant neoplasm,Obsv-suspct mal neoplasm
V709,4,00V7090,Unspecified general medical examination,General medical exam NOS
V708,4,00V7080,Other specified general medical examinations,General medical exam NEC
V707,4,00V7070,Examination of participant in clinical trial,Exam-clincal trial
V706,4,00V7060,Health examination in population surveys,Health exam-pop survey
V705,4,00V7050,Health examination of defined subpopulations,Health exam-group survey
V704,4,00V7040,Examination for medicolegal reasons,Exam-medicolegal reasons
V703,4,00V7030,Other general medical examination for administrative purposes,Med exam NEC-admin purp
V702,4,00V7020,"General psychiatric examination, other and unspecified",Gen psychiatric exam NEC
V701,4,00V7010,"General psychiatric examination, requested by the authority",Psych exam-authority req
V700,4,00V7000,Routine general medical examination at a health care facility,Routine medical exam
V699,4,00V6990,Unspecified problem related to lifestyle,Prblm rltd lfstyle NOS
V698,4,00V6980,Other problems related to lifestyle,Oth prblms rltd lfstyle
V695,4,00V6950,Behavioral insomnia of childhood,Behav insomnia-childhood
V694,4,00V6940,Lack of adequate sleep,Lack of adequate sleep
V693,4,00V6930,Gambling and betting,Gambling and betting
V692,4,00V6920,High-risk sexual behavior,High-risk sexual behavr
V691,4,00V6910,Inappropriate diet and eating habits,Inapprt diet eat habits
V690,4,00V6900,Lack of physical exercise,Lack of physical exercse
V689,4,00V6890,Encounters for unspecified administrative purpose,Administrtve encount NOS
V682,4,00V6820,Request for expert evidence,Request expert evidence
V681,4,00V6810,Issue of repeat prescriptions,Issue repeat prescript
V679,4,00V6790,Unspecified follow-up examination,Follow-up exam NOS
V676,4,00V6760,"Follow-up examination, following combined treatment",Comb treatment follow-up
V674,4,00V6740,"Follow-up examination, following treatment of healed fracture",FU exam treatd healed fx
V673,4,00V6730,"Follow-up examination, following psychotherapy and other treatment for mental disorder",Psychiatric follow-up
V672,4,00V6720,"Follow-up examination, following chemotherapy",Chemotherapy follow-up
V671,4,00V6710,"Follow-up examination, following radiotherapy",Radiotherapy follow-up
V669,4,00V6690,Unspecified convalescence,Convalescence NOS
V667,4,00V6670,Encounter for palliative care,Encountr palliative care
V666,4,00V6660,Convalescence following combined treatment,Comb treatment convales
V665,4,00V6650,Convalescence following other treatment,Convalescence NEC
V664,4,00V6640,Convalescence following treatment of fracture,Fracture treatmnt conval
V663,4,00V6630,Convalescence following psychotherapy and other treatment for mental disorder,Mental dis convalescence
V662,4,00V6620,Convalescence following chemotherapy,Chemotherapy convalescen
V661,4,00V6610,Convalescence following radiotherapy,Radiotherapy convalescen
V660,4,00V6600,Convalescence following surgery,Surgical convalescence
V659,4,00V6590,Unspecified reason for consultation,Reason for consult NOS
V658,4,00V6580,Other reasons for seeking consultation,Reason for consult NEC
V655,4,00V6550,Person with feared complaint in whom no diagnosis was made,Persn w feared complaint
V653,4,00V6530,Dietary surveillance and counseling,Dietary surveil/counsel
V652,4,00V6520,Person feigning illness,Person feigning illness
V650,4,00V6500,Healthy person accompanying sick person,Healthy person w sick
V643,4,00V6430,Procedure not carried out for other reasons,No proc for reasons NEC
V642,4,00V6420,Surgical or other procedure not carried out because of patient's decision,No proc/patient decision
V641,4,00V6410,Surgical or other procedure not carried out because of contraindication,No proc/contraindication
V639,4,00V6390,Unspecified reason for unavailability of medical facilities,No med facilities NOS
V638,4,00V6380,Other specified reasons for unavailability of medical facilities,No med facilities NEC
V632,4,00V6320,Person awaiting admission to adequate facility elsewhere,Wait adm to oth facility
V631,4,00V6310,Medical services in home not available,No medical serv in home
V630,4,00V6300,Residence remote from hospital or other health care facility,Home remote from hospitl
V629,4,00V6290,Unspecified psychosocial circumstance,Psychosocial circum NOS
V626,4,00V6260,Refusal of treatment for reasons of religion or conscience,Refusal of treatment
V625,4,00V6250,Legal circumstances,Legal circumstances
V624,4,00V6240,Social maladjustment,Social maladjustment
V623,4,00V6230,Educational circumstances,Educational circumstance
V621,4,00V6210,Adverse effects of work environment,Adverse eff-work environ
V620,4,00V6200,Unemployment,Unemployment
V619,4,00V6190,Unspecified family circumstance,Family circumstance NOS
V618,4,00V6180,Other specified family circumstances,Family circumstances NEC
V617,4,00V6170,Other unwanted pregnancy,Unwanted pregnancy NEC
V616,4,00V6160,Illegitimacy or illegitimate pregnancy,Illegitimate pregnancy
V615,4,00V6150,Multiparity,Multiparity
V613,4,00V6130,Problems with aged parents or in-laws,Problem w aged parent
V609,4,00V6090,Unspecified housing or economic circumstance,Housing/econo circum NOS
V606,4,00V6060,Person living in residential institution,Person in resident inst
V605,4,00V6050,Holiday relief care,Holiday relief care
V604,4,00V6040,No other household member able to render care,No family able to care
V603,4,00V6030,Person living alone,Person living alone
V602,4,00V6020,Inadequate material resources,Economic problem
V601,4,00V6010,Inadequate housing,Inadequate housing
V600,4,00V6000,Lack of housing,Lack of housing
V599,4,00V5990,Donors of unspecified organ or tissue,Org or tissue donor NOS
V598,4,00V5980,Donors of other specified organ or tissue,Org or tissue donor NEC
V596,4,00V5960,Liver donors,Liver donor
V595,4,00V5950,Cornea donors,Cornea donor
V594,4,00V5940,Kidney donors,Kidney donor
V593,4,00V5930,Bone marrow donors,Bone marrow donor
V592,4,00V5920,Bone donors,Bone donor
V591,4,00V5910,Skin donors,Skin donor
V589,4,00V5890,Unspecified aftercare,Aftercare NOS
V585,4,00V5850,Orthodontics aftercare,Orthodontics aftercare
V582,4,00V5820,"Blood transfusion, without reported diagnosis","Blood transfusion, no dx"
V580,4,00V5800,Encounter for radiotherapy,Radiotherapy encounter
V579,4,00V5790,Care involving unspecified rehabilitation procedure,Rehabilitation proc NOS
V574,4,00V5740,Care involving orthoptic training,Orthoptic training
V573,4,00V5730,Care involving speech-language therapy,Speech-language therapy
V571,4,00V5710,Care involving other physical therapy,Physical therapy NEC
V570,4,00V5700,Care involving breathing exercises,Breathing exercises
V568,4,00V5680,Encounter for other dialysis,"Dialysis encounter, NEC"
V562,4,00V5620,Fitting and adjustment of peritoneal dialysis catheter,Fit/adj perit dial cath
V561,4,00V5610,Fitting and adjustment of extracorporeal dialysis catheter,Ft/adj xtrcorp dial cath
V560,4,00V5600,Encounter for extracorporeal dialysis,Renal dialysis encounter
V559,4,00V5590,Attention to unspecified artificial opening,Attn to artif open NOS
V558,4,00V5580,Attention to other specified artificial opening,Attn to artif open NEC
V557,4,00V5570,Attention to artificial vagina,Atten artificial vagina
V556,4,00V5560,Attention to other artificial opening of urinary tract,Atten to urinostomy NEC
V555,4,00V5550,Attention to cystostomy,Atten to cystostomy
V554,4,00V5540,Attention to other artificial opening of digestive tract,Atten to enterostomy NEC
V553,4,00V5530,Attention to colostomy,Atten to colostomy
V552,4,00V5520,Attention to ileostomy,Atten to ileostomy
V551,4,00V5510,Attention to gastrostomy,Atten to gastrostomy
V550,4,00V5500,Attention to tracheostomy,Atten to tracheostomy
V549,4,00V5490,Unspecified orthopedic aftercare,Orthopedic aftercare NOS
V538,4,00V5380,Fitting and adjustment of wheelchair,Adjustment of wheelchair
V537,4,00V5370,Fitting and adjustment of orthopedic devices,Fit orthopedic devices
V536,4,00V5360,Fitting and adjustment of urinary devices,Fitting urinary devices
V534,4,00V5340,Fitting and adjustment of orthodontic devices,Fit orthodontic device
V532,4,00V5320,Fitting and adjustment of hearing aid,Adjustment hearing aid
V531,4,00V5310,Fitting and adjustment of spectacles and contact lenses,Fit contact lens/glasses
V529,4,00V5290,Fitting and adjustment of unspecified prosthetic device,Fitting prosthesis NOS
V528,4,00V5280,Fitting and adjustment of other specified prosthetic device,Fitting prosthesis NEC
V524,4,00V5240,Fitting and adjustment of breast prosthesis and implant,Fit/adj breast pros/impl
V523,4,00V5230,Fitting and adjustment of dental prosthetic device,Fitting dental prosthes
V522,4,00V5220,Fitting and adjustment of artificial eye,Fitting artificial eye
V521,4,00V5210,Fitting and adjustment of artificial leg (complete) (partial),Fitting artificial leg
V520,4,00V5200,Fitting and adjustment of artificial arm (complete) (partial),Fitting artificial arm
V518,4,00V5180,Other aftercare involving the use of plastic surgery,Aftercre plastc surg NEC
V510,4,00V5100,Encounter for breast reconstruction following mastectomy,Brst reconst fol mastect
V509,4,00V5090,Unspecified elective surgery for purposes other than remedying health states,Elective surgery NOS
V508,4,00V5080,Other elective surgery for purposes other than remedying health states,Elective surgery NEC
V503,4,00V5030,Ear piercing,Ear piercing
V502,4,00V5020,Routine or ritual circumcision,Routine circumcision
V501,4,00V5010,Other plastic surgery for unacceptable cosmetic appearance,Plastic surgery NEC
V500,4,00V5000,Elective hair transplant for purposes other than remedying health states,Hair transplant
V499,4,00V4990,Unspecified problems with limbs and other problems,Probl influ health NOS
V495,4,00V4950,Other problems of limbs,Limb problems NEC
V494,4,00V4940,Disfigurements of limbs,Disfigurements of limbs
V493,4,00V4930,Sensory problems with limbs,Sensory problems w limbs
V492,4,00V4920,Motor problems with limbs,Motor problems w limbs
V491,4,00V4910,Mechanical problems with limbs,Mechanical prob w limbs
V490,4,00V4900,Deficiencies of limbs,Deficiencies of limbs
V489,4,00V4890,"Unspecified problem with head, neck, or trunk",Prob-head/neck/trunk NOS
V488,4,00V4880,"Other problems with head, neck, and trunk",Prob-head/neck/trunk NEC
V487,4,00V4870,Disfigurements of neck and trunk,Disfigurement neck/trunk
V486,4,00V4860,Disfigurements of head,Disfigurements of head
V485,4,00V4850,Sensory problem with neck and trunk,Sensor prob w neck/trunk
V484,4,00V4840,Sensory problem with head,Sensory problem w head
V483,4,00V4830,Mechanical and motor problems with neck and trunk,Mech prob w neck & trunk
V482,4,00V4820,Mechanical and motor problems with head,Mechanical prob w head
V481,4,00V4810,Deficiencies of neck and trunk,Deficiencies neck/trunk
V480,4,00V4800,Deficiencies of head,Deficiencies of head
V479,4,00V4790,Unspecified problems with internal organs,Probl w internal org NOS
V475,4,00V4750,Other genital problems,Genital problems NEC
V474,4,00V4740,Other urinary problems,Urinary problems NEC
V473,4,00V4730,Other digestive problems,Digestive problems NEC
V472,4,00V4720,Other cardiorespiratory problems,Cardiorespirat probl NEC
V471,4,00V4710,Mechanical and motor problems with internal organs,Mech prob w internal org
V470,4,00V4700,Deficiencies of internal organs,Intern organ deficiency
V469,4,00V4690,Unspecified machine dependence,Machine dependence NOS
V468,4,00V4680,Dependence on other enabling machines,Machine dependence NEC
V463,4,00V4630,Wheelchair dependence,Wheelchair dependence
V462,4,00V4620,"Other dependence on machines, supplemental oxygen",Depend-supplement oxygen
V460,4,00V4600,Dependence on aspirator,Dependence on aspirator
V454,4,00V4540,Arthrodesis status,Arthrodesis status
V453,4,00V4530,Intestinal bypass or anastomosis status,Intestinal bypass status
V452,4,00V4520,Presence of cerebrospinal fluid drainage device,Ventricular shunt status
V449,4,00V4490,Unspecified artificial opening status,Artif open status NOS
V448,4,00V4480,Other artificial opening status,Artif open status NEC
V447,4,00V4470,Artificial vagina status,Artificial vagina status
V446,4,00V4460,Other artificial opening of urinary tract status,Urinostomy status NEC
V444,4,00V4440,Status of other artificial opening of gastrointestinal tract,Enterostomy status NEC
V443,4,00V4430,Colostomy status,Colostomy status
V442,4,00V4420,Ileostomy status,Ileostomy status
V441,4,00V4410,Gastrostomy status,Gastrostomy status
V440,4,00V4400,Tracheostomy status,Tracheostomy status
V437,4,00V4370,Limb replaced by other means,Limb replacement NEC
V435,4,00V4350,Bladder replaced by other means,Bladder replacement NEC
V434,4,00V4340,Blood vessel replaced by other means,Blood vessel replac NEC
V433,4,00V4330,Heart valve replaced by other means,Heart valve replac NEC
V431,4,00V4310,Lens replaced by other means,Lens replacement NEC
V430,4,00V4300,Eye globe replaced by other means,Eye replacement NEC
V429,4,00V4290,Unspecified organ or tissue replaced by transplant,Transplant status NOS
V427,4,00V4270,Liver replaced by transplant,Liver transplant status
V426,4,00V4260,Lung replaced by transplant,Lung transplant status
V425,4,00V4250,Cornea replaced by transplant,Cornea transplant status
V424,4,00V4240,Bone replaced by transplant,Bone transplant status
V423,4,00V4230,Skin replaced by transplant,Skin transplant status
V422,4,00V4220,Heart valve replaced by transplant,Heart valve transplant
V421,4,00V4210,Heart replaced by transplant,Heart transplant status
V420,4,00V4200,Kidney replaced by transplant,Kidney transplant status
V419,4,00V4190,Unspecified problem with special functions,Probl w special func NOS
V418,4,00V4180,Other problems with special functions,Probl w special func NEC
V417,4,00V4170,Problems with sexual function,Sexual function problem
V416,4,00V4160,Problems with swallowing and mastication,Problem w swallowing
V415,4,00V4150,Problems with smell and taste,Smell and taste problem
V414,4,00V4140,Problems with voice production,Voice production problem
V413,4,00V4130,Other ear problems,Ear problems NEC
V412,4,00V4120,Problems with hearing,Problems with hearing
V411,4,00V4110,Other eye problems,Eye problems NEC
V410,4,00V4100,Problems with sight,Problems with sight
V409,4,00V4090,Unspecified mental or behavioral problem,Mental/behavior prob NOS
V402,4,00V4020,Other mental problems,Mental problems NEC
V401,4,00V4010,Mental and behavioral problems with communication [including speech],Prob with communication
V400,4,00V4000,Mental and behavioral problems with learning,Problems with learning
V392,4,00V3920,"Liveborn, unspecified whether single, twin or multiple, born outside hospital and not hospitalized",Liveborn NOS-nonhosp
V391,4,00V3910,"Liveborn, unspecified whether single, twin or multiple, born before admission to hospital",Liveborn NOS-before adm
V372,4,00V3720,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born outside of hospital",Mult birth NOS-nonhosp
V371,4,00V3710,"Other multiple birth (three or more), unspecified whether mates liveborn or stillborn, born before admission to hospital",Mult brth NOS-before adm
V362,4,00V3620,"Other multiple birth (three or more), mates liveborn and stillborn, born outside hospital and not hospitalized",Multiple nb/sb-nonhosp
V361,4,00V3610,"Other multiple birth (three or more), mates liveborn and stillborn, born before admission to hospital",Mult nb/sb-before adm
V352,4,00V3520,"Other multiple birth (three or more), mates all stillborn, born outside of hospital and not hospitalized",Oth multiple sb-nonhosp
V351,4,00V3510,"Other multiple birth (three or more), mates all stillborn, born before admission to hospital",Oth mult sb-before adm
V342,4,00V3420,"Other multiple birth (three or more), mates all liveborn, born outside hospital and not hospitalized",Oth multiple nb-nonhosp
V341,4,00V3410,"Other multiple birth (three or more), mates all liveborn, born before admission to hospital",Oth mult nb-before adm
V332,4,00V3320,"Twin birth, unspecified whether mate liveborn or stillborn, born outside hospital and not hospitalized",Twin NOS-nonhosp
V331,4,00V3310,"Twin birth, unspecified whether mate liveborn or stillborn, born before admission to hospital",Twin NOS-before admissn
V322,4,00V3220,"Twin birth, mate stillborn, born outside hospital and not hospitalized","Twin, mate sb-nonhosp"
V321,4,00V3210,"Twin birth, mate stillborn, born before admission to hospital","Twin, mate sb-before adm"
V312,4,00V3120,"Twin birth, mate liveborn, born outside hospital and not hospitalized","Twin, mate lb-nonhosp"
V311,4,00V3110,"Twin birth, mate liveborn, born before admission to hospital","Twin, mate lb-before adm"
V302,4,00V3020,"Single liveborn, born outside hospital and not hospitalized",Single liveborn-nonhosp
V301,4,00V3010,"Single liveborn, born before admission to hospital",Singl livebrn-before adm
V299,4,00V2990,Observation for unspecified suspected conditions,NB obsrv unsp suspct cnd
V298,4,00V2980,Observation for other specified suspected conditions,NB obsrv oth suspct cond
V293,4,00V2930,Observation for suspected genetic or metabolic condition,NB obs genetc/metabl cnd
V292,4,00V2920,Observation and evaluation of newborn for suspected respiratory condition,Obsrv NB suspc resp cond
V291,4,00V2910,Observation for suspected neurological conditions,NB obsrv suspct neurlgcl
V290,4,00V2900,Observation for suspected infectious condition,NB obsrv suspct infect
